"","trip_id","route_id","timestamp","latitude","longitude","speed"
"1","20260515_DUPE_4-CS-TERM_0_DUPE_18_0650","4_4-CS-TERM",1778825942,38.6428,-9.04843,0.08
"2","20260514_DUPE_4-CS-TERM_0_DUPE_18_0640","4_4-CS-TERM",1778738341,38.65217,-9.07846,14.05
"3","20260515_DUPE_4-CS-TERM_0_DUPE_18_0650","4_4-CS-TERM",1778823962,38.63645,-9.03222,0.16
"4","20260514_DUPE_4-CS-TERM_0_DUPE_18_0640","4_4-CS-TERM",1778737742,38.64186,-9.05829,2.42
"5","20260515_DUPE_4-CS-TERM_0_DUPE_18_0810","4_4-CS-TERM",1778832003,38.65209,-9.07844,5.16
"6","20260515_DUPE_4-CS-TERM_0_DUPE_18_0650","4_4-CS-TERM",1778827442,38.63614,-9.0315,5.33
"7","20260514_DUPE_4-CS-TERM_0_DUPE_18_0640","4_4-CS-TERM",1778738762,38.64169,-9.04844,4.55
"8","20260514_DUPE_4-CS-TERM_0_DUPE_18_0640","4_4-CS-TERM",1778738882,38.63273,-9.03277,4.72
"9","20260515_DUPE_4-CS-TERM_0_DUPE_18_0650","4_4-CS-TERM",1778825403,38.63506,-9.03264,1.3
"10","20260515_DUPE_4-CS-TERM_0_DUPE_18_0650","4_4-CS-TERM",1778824742,38.64147,-9.05769,11.57
